,Loss,Error
348,0.15620814,0.561807
349,0.32900012,0.6197291
350,0.17792284,0.5332495
351,0.102763765,0.6092846
352,0.46559986,0.53048587
353,0.025467388,1694612.9
354,0.27488446,1631458.9
355,0.09880057,0.33820027
356,0.14495721,0.5821776
357,0.18014942,0.62211984
358,0.09008359,0.64906496
359,0.09789884,0.36352044
360,0.44699043,0.5222618
361,0.061551545,0.34074154
362,0.04174592,1599006.4
363,0.09275237,0.56013155
364,0.15098009,0.5611524
365,0.4101065,0.6822215
366,0.18022425,0.5654491
367,0.07886018,0.4153482
368,0.50256515,1909627.8
369,0.36458534,0.57757473
370,0.053434234,0.3523587
371,0.07920575,0.547696
372,0.09377496,0.7377346
373,0.13812622,0.33108363
374,0.2759862,0.5900315
375,0.12831494,0.51891494
376,0.056243375,1678064.0
377,0.45010996,0.46263203
378,0.30681503,0.3422818
379,0.07331247,0.4487251
380,0.10917809,0.5153718
381,0.6739374,0.69276726
382,0.022272196,1720762.5
383,0.058115482,0.5828446
384,0.43781212,0.3302051
385,0.10798535,0.33699182
386,0.2989911,1557496.0
387,0.1505207,0.45720756
388,0.1771793,0.4387223
389,0.078270555,0.65063125
390,0.2933809,0.51805323
391,0.0164342,0.40721792
392,0.12838286,0.31756914
393,0.17056376,0.78689796
394,0.52036804,0.5570693
395,0.11566096,1699111.4
396,0.5223141,0.49090254
397,0.114583105,0.6784432
398,0.2895173,0.40825945
399,0.12438083,0.44910437
400,0.13535528,1511498.1
401,0.054804496,0.25381273
402,0.09321675,0.3680519
403,0.12424759,0.3246336
404,0.11426384,0.65116185
405,0.53733367,0.7314205
406,0.29910702,0.46277592
407,0.053687464,1705746.0
408,0.31007293,0.5312357
409,0.12288952,0.50811887
410,0.06296366,1552391.8
411,0.15017086,0.45425212
412,0.13550192,0.5353011
413,0.45770454,0.48279005
414,0.0180799,1559044.9
415,0.50278866,0.5428842
416,0.0873169,0.5647195
417,0.3768689,0.4530457
418,0.06283162,0.51660824
419,0.12708889,0.4357409
420,0.3439034,1502656.2
421,0.039011233,0.5540425
422,0.124985576,0.2907269
423,0.03420338,0.4191012
424,0.14180277,0.49688345
425,0.48413455,0.4600777
426,0.38499734,0.64769953
427,0.0410166,1520276.0
428,0.051087927,0.3989669
429,0.45507738,0.41579074
430,0.16598871,0.5316101
431,0.07728175,0.453281
432,0.034365032,0.34114087
433,0.70161915,0.4522034
434,0.14962256,0.4104527
435,0.1274831,1383946.5
436,0.10389805,0.5453205
437,0.08554465,0.4032728
438,0.043946125,1498091.6
439,0.027039358,0.48168075
440,0.20309348,0.44039428
441,0.48257357,0.44631228
442,0.36509246,0.6295235
443,0.09014308,0.50360954
444,0.11640782,0.35417163
445,0.2540114,0.57898533
446,0.43879268,0.4433809
447,0.123363174,0.37857354
448,0.14888388,0.47176906
449,0.057176214,1517044.5
450,0.12383935,0.4239287
